transaction_id,customer_id,product_id,quantity,purchase_date,purchased,age,gender,city,annual_income,signup_date,loyalty_score,is_active,category,price,discount,stock_qty,rating,age_missing,annual_income_missing,loyalty_score_missing,iso_outlier,days_since_last_purchase,days_since_signup,signup_year,signup_month,transaction_id_numeric,income_group,income_group_ord,total_purchase_value,purchase_per_day,log_total_purchase,log_income,sqrt_loyalty_score,recency_inverse,purchase_value_power,income_bin,frequent_buyer
T00001,325,11,4,2023-12-24,0,44.0,Other,Rajkot,864504.0,2018-07-10,46.9,1,Groceries,1509.99,5,156,2.5,0,0,0,1,791,2784,2018,7,1.0,High,2,-24159.84,-8.678103448275863,0.0,13.669912367778752,6.848357467305573,0.0012626262626262627,0.16037212791618533,Medium,1
T00002,580,24,4,2022-01-25,1,52.0,Other,Vadodara,1223201.6884210526,2020-04-11,50.70416578108395,1,Books,2901.81,0,436,3.3,0,0,0,1,1489,2143,2020,4,2.0,High,2,11607.24,5.416350909939338,9.359470469746569,14.016983131453513,7.1206857662084735,0.0006711409395973154,2.505587357519482,Medium,1
T00004,570,22,2,2022-07-01,0,45.0,Male,Mumbai,1223201.6884210526,2020-08-17,71.53,1,Clothing,2891.78,5,169,1.9,0,0,0,1,1332,2015,2020,8,4.0,High,2,-23134.24,-11.481012406947892,0.0,14.016983131453513,8.457541013793549,0.0007501875468867217,0.1799254057393131,Medium,1
T00006,595,30,4,2024-04-20,1,63.0,Female,Delhi,321927.0,2023-04-22,46.33,1,Groceries,1889.88,15,487,2.0,0,0,0,1,673,1037,2023,4,6.0,Medium,1,-105833.28,-102.05716489874638,0.0,12.68208319703931,6.806614430096654,0.001483679525222552,-1.2404665327084732,Low,0
T00007,346,34,3,2023-10-03,0,20.0,Female,Mumbai,1670159.0,2022-03-28,7.054,1,Clothing,2850.59,5,300,2.8,0,0,0,1,873,1427,2022,3,7.0,Very High,3,-34207.08,-23.971324456902593,0.0,14.32842998818684,2.6559367462347443,0.0011441647597254005,-0.026751004931679354,High,0
T00009,625,88,3,2023-04-26,1,56.0,Female,Surat,964925.0,2023-06-15,93.55,1,Toys,2144.89,15,258,4.7,0,0,0,1,1033,983,2023,6,9.0,High,2,-90085.38,-91.64331637843337,0.0,13.779806693442936,9.67212489580237,0.0009671179883945841,-0.9851757703933927,Medium,0
T00010,371,70,1,2024-04-27,1,70.0,Female,Ahmedabad,1330870.0,2019-01-20,17.74,1,Clothing,2516.66,15,15,2.2,0,0,0,1,666,2590,2019,1,10.0,High,2,-35233.24,-13.603567567567566,0.0,14.101344173070924,4.211887937730538,0.0014992503748125937,-0.04547538827346143,High,0
T00012,135,63,2,2024-05-21,1,67.0,Male,Delhi,2301710.0,2019-06-04,93.55,1,Groceries,1408.51,10,345,4.0,0,0,0,1,642,2455,2019,6,12.0,Very High,3,-25353.18,-10.327160896130346,0.0,14.6491633173767,9.67212489580237,0.0015552099533437014,0.13773960103241764,Very High,1
T00015,644,6,4,2023-06-30,0,54.0,Other,Ahmedabad,2301710.0,2018-11-15,50.70416578108395,1,Toys,1255.52,0,418,3.9,0,0,0,1,968,2656,2018,11,15.0,Very High,3,5022.08,1.8908433734939758,8.521798570360225,14.6491633173767,7.1206857662084735,0.0010319917440660474,1.3972844408214717,Very High,1
T00019,679,91,1,2023-10-08,1,68.0,Male,Ahmedabad,1223201.6884210526,2021-05-26,41.37,1,Toys,579.59,10,118,2.8,0,0,0,1,868,1733,2021,5,19.0,High,2,-5216.31,-3.0099884593191,0.0,14.016983131453513,6.431951492354401,0.0011507479861910242,0.5456644754469283,Medium,1
T00020,413,4,2,2022-01-21,1,65.0,Female,Mumbai,1002156.0,2019-07-23,7.054,1,Toys,1696.13,20,79,4.4,0,0,0,1,1493,2406,2019,7,20.0,High,2,-64452.94,-26.788420615128846,0.0,13.817665234979627,2.6559367462347443,0.0006693440428380187,-0.5580415729072311,Medium,0
T00022,351,39,3,2022-03-11,1,30.0,Male,Delhi,1021242.0,2021-05-24,35.85,1,Books,663.71,15,434,3.0,0,0,0,1,1444,1735,2021,5,22.0,High,2,-27875.82,-16.066755043227666,0.0,13.836531070787693,5.987486951969082,0.0006920415224913495,0.0902880137233867,Medium,0
T00023,819,73,4,2024-05-13,0,23.0,Other,Delhi,1163727.0,2018-01-14,37.16,1,Groceries,1695.89,15,454,4.5,0,0,0,1,650,2961,2018,1,23.0,High,2,-94969.84000000001,-32.073569739952724,0.0,13.967139202990857,6.095900261651268,0.0015360983102918587,-1.0648659439460482,Medium,0
T00024,821,73,3,2024-05-22,1,63.0,Male,Vadodara,1042345.0,2022-10-03,85.68,1,Groceries,1695.89,15,454,4.5,0,0,0,1,641,1238,2022,10,24.0,High,2,-71227.38,-57.53423263327949,0.0,13.856984499920609,9.256349172324908,0.001557632398753894,-0.6725583264592423,Medium,0
T00025,665,11,2,2022-02-17,1,72.0,Male,Ahmedabad,1687296.0,2021-08-25,93.09,1,Groceries,1509.99,5,156,2.5,0,0,0,1,1466,1642,2021,8,25.0,Very High,3,-12079.92,-7.356833130328868,0.0,14.338638398196347,9.648315915225828,0.0006816632583503749,0.39836554944961383,High,1
T00026,705,67,2,2023-05-06,1,56.0,Female,Delhi,2220753.0,2021-02-10,93.55,1,Groceries,1390.87,5,96,1.4,0,0,0,1,1023,1838,2021,2,26.0,Very High,3,-11126.96,-6.053841131664853,0.0,14.613357335823617,9.67212489580237,0.0009765625,0.4180730562784634,Very High,1
T00027,776,58,3,2023-07-05,1,35.0,Other,Surat,398287.0,2019-01-11,69.45,0,Toys,3847.93,20,280,2.1,0,0,0,1,963,2599,2019,1,27.0,Medium,1,-219332.00999999998,-84.39092343208925,0.0,12.894930640671689,8.333666660000267,0.001037344398340249,-2.981420802770526,Low,0
T00029,9,3,3,2022-01-10,0,24.0,Male,Ahmedabad,2236852.0,2021-12-16,47.87,1,Toys,2617.55,20,192,1.9,0,0,0,1,1504,1529,2021,12,29.0,Very High,3,-149200.35,-97.58034663178549,0.0,14.620580525304579,6.918814927427962,0.000664451827242525,-1.9229695309287735,Very High,0
T00030,921,24,1,2023-06-26,1,67.0,Female,Delhi,2221142.0,2020-05-27,48.16,1,Books,2901.81,0,436,3.3,0,0,0,1,972,2097,2020,5,30.0,Very High,3,2901.81,1.38379113018598,7.973434512347752,14.61353248621589,6.9397406291589885,0.0010277492291880781,1.0688902834496379,Very High,1
T00032,243,23,1,2022-10-01,1,31.0,Male,Surat,554093.0,2019-09-20,13.37,1,Clothing,2555.84,20,60,1.3,0,0,0,1,1240,2347,2019,9,32.0,Medium,1,-48560.96000000001,-20.690651896037497,0.0,13.225089626426483,3.6565010597564442,0.0008058017727639,-0.28363232356244183,Low,0
