transaction_id,customer_id,product_id,quantity,purchase_date,purchased,age,gender,city,annual_income,signup_date,loyalty_score,is_active,category,price,discount,stock_qty,rating
T00001,325,11,4,2023-12-24,0,44.0,Other,Rajkot,864504.0,2018-07-10,46.9,1,Groceries,1509.99,5,156,2.5
T00002,580,24,4,2022-01-25,1,52.0,Other,Vadodara,,2020-04-11,,1,Books,2901.81,0,436,3.3
T00003,343,76,2,2023-06-12,1,26.0,Male,Mumbai,266007.0,2022-05-28,39.17,1,Electronics,23392.87,0,186,1.6
T00004,570,22,2,2022-07-01,0,45.0,Male,Mumbai,,2020-08-17,71.53,1,Clothing,2891.78,5,169,1.9
T00005,645,52,1,2023-05-14,0,26.0,Other,Delhi,1076659.0,2023-04-03,20.48,0,Home,15124.37,5,237,1.4
T00006,595,30,4,2024-04-20,1,63.0,Female,Delhi,321927.0,2023-04-22,46.33,1,Groceries,1889.88,15,487,2.0
T00007,346,34,3,2023-10-03,0,20.0,Female,Mumbai,1670159.0,2022-03-28,4.26,1,Clothing,2850.59,5,300,2.8
T00008,359,38,2,2022-02-11,0,26.0,Other,Surat,1512532.0,2019-06-12,77.57,1,Home,5816.79,5,433,4.9
T00009,625,88,3,2023-04-26,1,56.0,Female,Surat,964925.0,2023-06-15,96.19,1,Toys,2144.89,15,258,4.7
T00010,371,70,1,2024-04-27,1,70.0,Female,Ahmedabad,1330870.0,2019-01-20,17.74,1,Clothing,2516.66,15,15,2.2
T00011,94,36,2,2024-01-18,0,44.0,Male,Ahmedabad,1836062.0,2022-11-12,13.01,1,Home,22807.24,15,316,4.6
T00012,135,63,2,2024-05-21,1,67.0,Male,Delhi,2393452.0,2019-06-04,95.26,1,Groceries,1408.51,10,345,4.0
T00013,117,89,4,2023-03-15,0,55.0,Other,Ahmedabad,813808.0,2020-08-19,13.63,1,Electronics,28480.84,15,255,1.7
T00014,262,49,1,2023-02-06,0,50.0,Other,Mumbai,2419206.0,2018-03-23,8.95,1,Home,14654.86,20,131,4.0
T00015,644,6,4,2023-06-30,0,54.0,Other,Ahmedabad,2301710.0,2018-11-15,,1,Toys,1255.52,0,418,3.9
T00016,645,5,2,2022-12-11,1,26.0,Other,Delhi,1076659.0,2023-04-03,20.48,0,Home,23609.45,5,108,2.9
T00017,45,2,1,2024-06-11,0,54.0,Male,Ahmedabad,668586.0,2023-04-25,61.13,0,Electronics,28275.9,0,13,4.8
T00018,755,10,2,2022-02-14,0,41.0,Other,Vadodara,,2020-07-02,87.81,1,Electronics,60872.09,15,79,1.9
T00019,679,91,1,2023-10-08,1,68.0,Male,Ahmedabad,,2021-05-26,41.37,1,Toys,579.59,10,118,2.8
T00020,413,4,2,2022-01-21,1,65.0,Female,Mumbai,1002156.0,2019-07-23,4.39,1,Toys,1696.13,20,79,4.4
T00021,996,86,3,2023-09-26,0,60.0,Female,Vadodara,1492505.0,2022-12-10,50.5,1,Home,5620.98,10,159,2.4
T00022,351,39,3,2022-03-11,1,30.0,Male,Delhi,1021242.0,2021-05-24,35.85,1,Books,663.71,15,434,3.0
T00023,819,73,4,2024-05-13,0,23.0,Other,Delhi,1163727.0,2018-01-14,37.16,1,Groceries,1695.89,15,454,4.5
T00024,821,73,3,2024-05-22,1,63.0,Male,Vadodara,1042345.0,2022-10-03,85.68,1,Groceries,1695.89,15,454,4.5
T00025,665,11,2,2022-02-17,1,74.0,Male,Ahmedabad,1687296.0,2021-08-25,93.09,1,Groceries,1509.99,5,156,2.5
T00026,705,67,2,2023-05-06,1,56.0,Female,Delhi,2220753.0,2021-02-10,95.13,1,Groceries,1390.87,5,96,1.4
T00027,776,58,3,2023-07-05,1,35.0,Other,Surat,398287.0,2019-01-11,69.45,0,Toys,3847.93,20,280,2.1
T00028,362,94,4,2022-10-14,1,66.0,Other,Delhi,237616.0,2019-06-29,47.91,1,Toys,5998.48,10,387,3.1
T00029,9,3,3,2022-01-10,0,24.0,Male,Ahmedabad,2236852.0,2021-12-16,47.87,1,Toys,2617.55,20,192,1.9
T00030,921,24,1,2023-06-26,1,67.0,Female,Delhi,2221142.0,2020-05-27,48.16,1,Books,2901.81,0,436,3.3
